Program Calculations
FRAME,TIME,FPS,DRAG_FACTOR,TOTAL_DISTANCE
0,0.0000000000,43.8167979900,.617,0.0000000000
1,.0333333333,43.1545513255,0.6170000000,1.4495224872
2,0.0666666666,42.4923046610,0.6170000000,2.8769700856
3,0.0999999999,41.8300579965,0.6170000000,4.2823427952
4,0.1333333332,41.1678113320,0.6170000000,5.6656406160
5,0.1666666665,40.5055646675,0.6170000000,7.0268635480
6,0.1999999998,39.8433180030,0.6170000000,8.3660115912
7,0.2333333331,39.1810713385,0.6170000000,9.6830847456
8,0.2666666664,38.5188246740,0.6170000000,10.9780830112
9,.27634629,38.3265157221,0.6170000000,11.3499999965
10,.2999999994,0.0000000135,50.3204145665,11.8032821847
11,.3333333324,10.5039625093,9.786300561,11.9783482109
12,0.3666666654,21.0079250051,9.7863005610,12.5035463168
13,0.3999999984,31.5118875009,9.7863005606,13.3788765024
14,0.4333333314,31.0872549436,.3956204,14.4221955333
15,0.4666666644,30.6626223863,0.3956204000,15.4513601457
16,0.4999999974,30.2379898290,0.3956204000,16.4663703397
17,0.5333333304,29.8133572717,0.3956204000,17.4672261153
18,0.5666666634,29.3887247144,0.3956204000,18.4539274724
19,0.5999999964,28.9640921571,0.3956204000,19.4264744111
20,0.6333333294,28.5394595998,0.3956204000,20.3848669314
21,0.6666666624,28.1148270425,0.3956204000,21.3291050332
22,0.6999999954,27.6901944852,0.3956204000,22.2591887166
23,0.7333333284,27.2655619279,0.3956204000,23.1751179816
24,0.7666666614,26.8409293706,0.3956204000,24.0768928281
25,0.7999999944,26.4162968133,0.3956204000,24.9645132562
26,0.8333333274,25.9916642560,0.3956204000,25.8379792659
27,0.8666666604,25.5670316987,0.3956204000,26.6972908571
28,0.8999999934,25.1423991414,0.3956204000,27.5424480299
29,0.9333333264,24.7177665841,0.3956204000,28.3734507842
30,0.9666666594,24.2931340268,0.3956204000,29.1902991201
31,0.9999999924,23.8685014695,0.3956204000,29.9929930376
32,1.0333333254,23.4438689122,0.3956204000,30.7815325366
33,1.0666666584,23.0192363549,0.3956204000,31.5559176172
34,1.0999999914,22.5946037976,0.3956204000,32.3161482794
35,1.1333333244,22.1699712403,0.3956204000,33.0622245231
36,1.1666666574,21.7453386830,0.3956204000,33.7941463484
37,1.1999999904,21.3207061257,0.3956204000,34.5119137553
38,1.2333333234,20.8960735684,0.3956204000,35.2155267437
39,1.2666666564,20.4714410111,0.3956204000,35.9049853137
40,1.2999999894,20.0468084538,0.3956204000,36.5802894653
41,1.3333333224,19.6221758965,0.3956204000,37.2414391984
42,1.3666666554,19.1975433392,0.3956204000,37.8884345131
43,1.3999999884,18.7729107819,0.3956204000,38.5212754094
44,1.4333333214,18.3482782246,0.3956204000,39.1399618872
45,1.4666666544,17.9236456673,0.3956204000,39.7444939466
46,1.4999999874,17.4990131100,0.3956204000,40.3348715876
47,1.5333333204,17.0743805527,0.3956204000,40.9110948101
48,1.5666666534,16.6497479954,0.3956204000,41.4731636142
49,1.5999999864,16.2251154381,0.3956204000,42.0210779998
